Generation	Pokedex#	Name	Category	Type 1	Type 2	Ability 1	Ability 2	Ability 3	MaleRatio	FemaleRatio	Height (m)	Weight (kg)	EggGroup 1	EggGroup 2	HP	Attack	Defense	Sp.Attack	Sp.Defense	Speed	Total	Group
1	133	Eevee	Evolution Pokemon	Normal	None	Run Away	Adaptability	Anticipation	87.5	12.5	0.3	6.5	Field	None	55	55	50	45	65	55	325	Ordinary
1	134	Vaporeon	Bubble Jet Pokemon	Water	None	Hydration	Water Absorb	None	87.5	12.5	1.0	29.0	Field	None	130	65	60	110	95	65	525	Ordinary
1	135	Jolteon	Lightning Pokemon	Electric	None	Quick Feet	Volt Absorb	None	87.5	12.5	0.8	24.5	Field	None	65	65	60	110	95	130	525	Ordinary
1	136	Flareon	Flame Pokemon	Fire	None	Flash Fire	Guts	None	87.5	12.5	0.9	25.0	Field	None	65	130	60	95	110	65	525	Ordinary
1	137	Porygon	Virtual Pokemon	Normal	None	Trace	Analytic	Download	0	0	0.8	36.5	Mineral	None	65	60	70	85	75	40	395	Ordinary
1	138	Omanyte	Spiral Pokemon	Rock	Water	Weak Armor	Swift Swim	Shell Armor	87.5	12.5	0.4	7.5	Water 3	Water 1	35	40	100	90	55	35	355	Ordinary
1	139	Omastar	Spiral Pokemon	Rock	Water	Weak Armor	Swift Swim	Shell Armor	87.5	12.5	1.0	35.0	Water 3	Water 1	70	60	125	115	70	55	495	Ordinary
1	140	Kabuto	Shellfish Pokemon	Rock	Water	Battle Armor	Weak Armor	Swift Swim	87.5	12.5	0.5	11.5	Water 3	Water 1	30	80	90	55	45	55	355	Ordinary
1	141	Kabutops	Shellfish Pokemon	Rock	Water	Battle Armor	Weak Armor	Swift Swim	87.5	12.5	1.3	40.5	Water 3	Water 1	60	115	105	65	70	80	495	Ordinary
6	142	Mega Aerodactyl	Fossil Pokemon	Rock	Flying	Tough Claws	None	None	87.5	12.5	1.8	59.0	Flying	None	80	135	85	70	95	150	615	Ordinary
1	142	Aerodactyl	Fossil Pokemon	Rock	Flying	Unnerve	Rock Head	Pressure	87.5	12.5	1.8	59.0	Flying	None	80	105	65	60	75	130	515	Ordinary
1	143	Snorlax	Sleeping Pokemon	Normal	None	Thick Fat	Immunity	Gluttony	87.5	12.5	2.1	460.0	Monster	None	160	110	65	65	110	30	540	Ordinary
1	144	Articuno	Freeze Pokemon	Ice	Flying	Pressure	Snow Cloak	None	0	0	1.7	55.4	Undiscovered	None	90	85	100	95	125	85	580	Legendary
1	145	Zapdos	Electric Pokemon	Electric	Flying	Static	Pressure	None	0	0	1.6	52.6	Undiscovered	None	90	90	85	125	90	100	580	Legendary
1	146	Moltres	Flame Pokemon	Fire	Flying	Flame Body	Pressure	None	0	0	2.0	60.0	Undiscovered	None	90	100	90	125	85	90	580	Legendary
1	147	Dratini	Dragon Pokemon	Dragon	None	Marvel Scale	Shed Skin	None	50	50	1.8	3.3	Water 1	Dragon	41	64	45	50	50	50	300	Ordinary
1	148	Dragonair	Dragon Pokemon	Dragon	None	Marvel Scale	Shed Skin	None	50	50	4.0	16.5	Water 1	Dragon	61	84	65	70	70	70	420	Ordinary
1	149	Dragonite	Dragon Pokemon	Dragon	Flying	Inner Focus	Multiscale	None	50	50	2.2	210.0	Water 1	Dragon	91	134	95	100	100	80	600	Ordinary
1	150	Mewtwo	Genetic Pokemon	Psychic	None	Unnerve	Pressure	None	0	0	2.0	122.0	Undiscovered	None	106	110	90	154	90	130	680	Legendary
6	150	Mega Mewtwo Y	Genetic Pokemon	Psychic	None	Insomnia	None	None	0	0	2.0	122.0	Undiscovered	None	106	150	70	194	120	140	780	Legendary
6	150	Mega Mewtwo X	Genetic Pokemon	Psychic	Fighting	Steadfast	None	None	0	0	2.0	122.0	Undiscovered	None	106	190	100	154	100	130	780	Legendary
1	151	Mew	New Species Pokemon	Psychic	None	Synchronize	None	None	0	0	0.4	4.0	Undiscovered	None	100	100	100	100	100	100	600	Legendary
2	152	Chikorita	Leaf Pokemon	Grass	None	Leaf Guard	Overgrow	None	87.5	12.5	0.9	6.4	Monster	Grass	45	49	65	49	65	45	318	Ordinary
2	153	Bayleef	Leaf Pokemon	Grass	None	Leaf Guard	Overgrow	None	87.5	12.5	1.2	15.8	Monster	Grass	60	62	80	63	80	60	405	Ordinary
2.0	154	Meganium	Herb Pokemon	Grass	None	Overgrow	None	None	87.5	12.5	1.8	100.5	Monster	Grass	80	82	100	83	100	80	525	Ordinary
2	155	Cyndaquil	Fire Mouse Pokemon	Fire	None	Blaze	Flash Fire	None	87.5	12.5	0.5	7.9	Field	None	39	52	43	60	50	65	309	Ordinary
2	156	Quilava	Volcano Pokemon	Fire	None	Blaze	Flash Fire	None	87.5	12.5	0.9	19.0	Field	None	58	64	58	80	65	80	405	Ordinary
2	157	Typhlosion	Volcano Pokemon	Fire	None	Blaze	Flash Fire	None	87.5	12.5	1.7	79.5	Field	None	78	84	78	109	85	100	534	Ordinary
2	158	Totodile	Big Jaw Pokemon	Water	None	Torrent	Sheer Force	None	87.5	12.5	0.6	9.5	Monster	Water 1	50	65	64	44	48	43	314	Ordinary
2	159	Croconaw	Big Jaw Pokemon	Water	None	Torrent	Sheer Force	None	87.5	12.5	1.1	25.0	Monster	Water 1	65	80	80	59	63	58	405	Ordinary
2	160	Feraligatr	Big Jaw Pokemon	Water	None	Torrent	Sheer Force	None	87.5	12.5	2.3	88.8	Monster	Water 1	85	105	100	79	83	78	530	Ordinary
2	161	Sentret	Scout Pokemon	Normal	None	Keen Eye	Run Away	Frisk	50	50	0.8	6.0	Field	None	35	46	34	35	45	20	215	Ordinary
2	162	Furret	Long Body Pokemon	Normal	None	Keen Eye	Run Away	Frisk	50	50	1.8	32.5	Field	None	85	76	64	45	55	90	415	Ordinary
2	163	Hoothoot	Owl Pokemon	Normal	Flying	Keen Eye	Insomnia	Tinted Lens	50	50	0.7	21.2	Flying	None	60	30	30	36	56	50	262	Ordinary
2	164	Noctowl	Owl Pokemon	Normal	Flying	Keen Eye	Insomnia	Tinted Lens	50	50	1.6	40.8	Flying	None	100	50	50	86	96	70	452	Ordinary
2	165	Ledyba	Five Star Pokemon	Bug	Flying	Swarm	Rattled	Early Bird	50	50	1.0	10.8	Bug	None	40	20	30	40	80	55	265	Ordinary
2	166	Ledian	Five Star Pokemon	Bug	Flying	Swarm	Iron Fist	Early Bird	50	50	1.4	35.6	Bug	None	55	35	50	55	110	85	390	Ordinary
2	167	Spinarak	String Spit Pokemon	Bug	Poison	Swarm	Insomnia	Sniper	50	50	0.5	8.5	Bug	None	40	60	40	40	40	30	250	Ordinary
2	168	Ariados	Long Leg Pokemon	Bug	Poison	Swarm	Insomnia	Sniper	50	50	1.1	33.5	Bug	None	70	90	70	60	70	40	400	Ordinary
2	169	Crobat	Bat Pokemon	Poison	Flying	Infiltrator	Inner Focus	None	50	50	1.8	75.0	Flying	None	85	90	80	70	80	130	535	Ordinary
2	170	Chinchou	Angler Pokemon	Water	Electric	Water Absorb	Volt Absorb	Illuminate	50	50	0.5	12.0	Water 2	None	75	38	38	56	56	67	330	Ordinary
2	171	Lanturn	Light Pokemon	Water	Electric	Water Absorb	Volt Absorb	Illuminate	50	50	1.2	22.5	Water 2	None	125	58	58	76	76	67	460	Ordinary
2	172	Spiky-eared Pichu	Tiny Mouse Pokemon	Electric	None	Static	Lightning Rod	None	50	50	0.3	2.0	Undiscovered	None	20	40	15	35	35	60	205	Ordinary
2	172	Pichu	Tiny Mouse Pokemon	Electric	None	Static	Lightning Rod	None	50	50	0.3	2.0	Undiscovered	None	20	40	15	35	35	60	205	Ordinary
2	173	Cleffa	Star Shape Pokemon	Fairy	None	Cute Charm	Magic Guard	Friend Guard	25	75	0.3	3.0	Undiscovered	None	50	25	28	45	55	15	218	Ordinary
2	174	Igglybuff	Balloon Pokemon	Normal	Fairy	Competitive	Cute Charm	Friend Guard	25	75	0.3	1.0	Undiscovered	None	90	30	15	40	20	15	210	Ordinary
2	175	Togepi	Spike Ball Pokemon	Fairy	None	Serene Grace	Hustle	Super Luck	87.5	12.5	0.3	1.5	Undiscovered	None	35	20	65	40	65	20	245	Ordinary
2	176	Togetic	Happiness Pokemon	Fairy	Flying	Serene Grace	Hustle	Super Luck	87.5	12.5	0.6	3.2	Flying	Fairy	55	40	85	80	105	40	405	Ordinary
2	177	Natu	Tiny Bird Pokemon	Psychic	Flying	Synchronize	Magic Bounce	Early Bird	50	50	0.2	2.0	Flying	None	40	50	45	70	45	70	320	Ordinary
2	178	Xatu	Mystic Pokemon	Psychic	Flying	Synchronize	Magic Bounce	Early Bird	50	50	1.5	15.0	Flying	None	65	75	70	95	70	95	470	Ordinary
2	179	Mareep	Wool Pokemon	Electric	None	Static	Plus	None	50	50	0.6	7.8	Field	Monster	55	40	40	65	45	35	280	Ordinary
2	180	Flaaffy	Wool Pokemon	Electric	None	Static	Plus	None	50	50	0.8	13.3	Field	Monster	70	55	55	80	60	45	365	Ordinary
2	181	Ampharos	Light Pokemon	Electric	None	Static	Plus	None	50	50	1.4	61.5	Field	Monster	90	95	105	165	110	45	610	Ordinary
6	181	Mega Ampharos	Light Pokemon	Electric	Dragon	Mold Breaker	None	None	50	50	1.4	61.5	Field	Monster	90	95	105	165	110	45	610	Ordinary
2	182	Bellossom	Flower Pokemon	Grass	None	Chlorophyll	Healer	None	50	50	0.4	5.8	Grass	None	75	80	95	90	100	50	490	Ordinary
2	183	Marill	Aqua Mouse Pokemon	Water	Fairy	Huge Power	Thick Fat	Sap Sipper	50	50	0.4	8.5	Fairy	Water 1	70	20	50	20	50	40	250	Ordinary
2	184	Azumarill	Aqua Rabbit Pokemon	Water	Fairy	Huge Power	Thick Fat	Sap Sipper	50	50	0.8	28.5	Fairy	Water 1	100	50	80	60	80	50	420	Ordinary
2	185	Sudowoodo	Imitation Pokemon	Rock	None	Rattled	Sturdy	Rock Head	50	50	1.2	38.0	Mineral	None	70	100	115	30	65	30	410	Ordinary
2	186	Politoed	Frog Pokemon	Water	None	Damp	Drizzle	Water Absorb	50	50	1.1	33.9	Water 1	None	90	75	75	90	100	70	500	Ordinary
2	187	Hoppip	Cottonweed Pokemon	Grass	Flying	Chlorophyll	Infiltrator	Leaf Guard	50	50	0.4	0.5	Grass	Fairy	35	35	40	35	55	50	250	Ordinary
2	188	Skiploom	Cottonweed Pokemon	Grass	Flying	Chlorophyll	Infiltrator	Leaf Guard	50	50	0.6	1.0	Grass	Fairy	55	45	50	45	65	80	340	Ordinary
2	189	Jumpluff	Cottonweed Pokemon	Grass	Flying	Chlorophyll	Infiltrator	Leaf Guard	50	50	0.8	3.0	Grass	Fairy	75	55	70	55	95	110	460	Ordinary
2	190	Aipom	Long Tail Pokemon	Normal	None	Skill Link	Run Away	Pickup	50	50	0.8	11.5	Field	None	55	70	55	40	55	85	360	Ordinary
2	191	Sunkern	Seed Pokemon	Grass	None	Chlorophyll	Early Bird	Solar Power	50	50	0.3	1.8	Grass	None	30	30	30	30	30	30	180	Ordinary
2	192	Sunflora	Sun Pokemon	Grass	None	Chlorophyll	Early Bird	Solar Power	50	50	0.8	8.5	Grass	None	75	75	55	105	85	30	425	Ordinary
2	193	Yanma	Clear Wing Pokemon	Bug	Flying	Speed Boost	Compound Eyes	Frisk	50	50	1.2	38.0	Bug	None	65	65	45	75	45	95	390	Ordinary
2	194	Wooper	Water Fish Pokemon	Water	Ground	Damp	Unaware	Water Absorb	50	50	0.4	8.5	Field	Water 1	55	45	45	25	25	15	210	Ordinary
2	195	Quagsire	Water Fish Pokemon	Water	Ground	Damp	Unaware	Water Absorb	50	50	1.4	75.0	Field	Water 1	95	85	85	65	65	35	430	Ordinary
2	196	Espeon	Sun Pokemon	Psychic	None	Synchronize	Magic Bounce	None	87.5	12.5	0.9	26.5	Field	None	65	65	60	130	95	110	525	Ordinary
2	197	Umbreon	Moonlight Pokemon	Dark	None	Synchronize	Inner Focus	None	87.5	12.5	1.0	27.0	Field	None	95	65	110	60	130	65	525	Ordinary
2	198	Murkrow	Darkness Pokemon	Dark	Flying	Insomnia	Super Luck	Prankster	50	50	0.5	2.1	Flying	None	60	85	42	85	42	91	405	Ordinary
2	199	Slowking	Royal Pokemon	Water	Psychic	Own Tempo	Oblivious	Regenerator	50	50	2.0	79.5	Monster	Water 1	95	75	80	100	110	30	490	Ordinary
2	200	Misdreavus	Screech Pokemon	Ghost	None	Levitate	None	None	50	50	0.7	1.0	Amorphous	None	60	60	60	85	85	85	435	Ordinary
2	201	Unown	Symbol Pokemon	Psychic	None	Levitate	None	None	0	0	0.5	5.0	Undiscovered	None	48	72	48	72	48	48	336	Ordinary
2	202	Wobbuffet	Patient Pokemon	Psychic	None	Telepathy	Shadow Tag	None	50	50	1.3	28.5	Amorphous	None	190	33	58	33	58	33	405	Ordinary
2	203	Girafarig	Long Neck Pokemon	Normal	Psychic	Sap Sipper	Early Bird	Inner Focus	50	50	1.5	41.5	Field	None	70	80	65	90	65	85	455	Ordinary
2	204	Pineco	Bagworm Pokemon	Bug	None	Sturdy	Overcoat	None	50	50	0.6	7.2	Bug	None	50	65	90	35	35	15	290	Ordinary
2	205	Forretress	Bagworm Pokemon	Bug	Steel	Sturdy	Overcoat	None	50	50	1.2	125.8	Bug	None	75	90	140	60	60	40	465	Ordinary
2	206	Dunsparce	Land Snake Pokemon	Normal	None	Serene Grace	Rattled	Run Away	50	50	1.5	14.0	Field	None	100	70	70	65	65	45	415	Ordinary
2	207	Gligar	Fly Scorpion Pokemon	Ground	Flying	Sand Veil	Hyper Cutter	Immunity	50	50	1.1	64.8	Bug	None	65	75	105	35	65	85	430	Ordinary
6	208	Mega Steelix	Iron Snake Pokemon	Steel	Ground	Sand Force	None	None	50	50	9.2	400.0	Mineral	None	75	125	230	55	95	30	610	Ordinary
2	208	Steelix	Iron Snake Pokemon	Steel	Ground	Sturdy	Rock Head	Sheer Force	50	50	9.2	400.0	Mineral	None	75	85	200	55	65	30	510	Ordinary
2	209	Snubbull	Fairy Pokemon	Fairy	None	Intimidate	Rattled	Run Away	25	75	0.6	7.8	Field	Fairy	60	80	50	40	40	30	300	Ordinary
2	210	Granbull	Fairy Pokemon	Fairy	None	Intimidate	Rattled	Quick Feet	25	75	1.4	48.7	Field	Fairy	90	120	75	60	60	45	450	Ordinary
2	211	Qwilfish	Balloon Pokemon	Water	Poison	Intimidate	Swift Swim	Poison Point	50	50	0.5	3.9	Water 2	None	65	95	85	55	55	85	440	Ordinary
2	212	Scizor	Pincer Pokemon	Bug	Steel	Swarm	Technician	Light Metal	50	50	1.8	118.0	Bug	None	70	130	100	55	80	65	500	Ordinary
6	212	Mega Scizor	Pincer Pokemon	Bug	Steel	Technician	None	None	50	50	1.8	118.0	Bug	None	70	150	140	65	100	75	600	Ordinary
2	213	Shuckle	Mold Pokemon	Bug	Rock	Contrary	Sturdy	Gluttony	50	50	0.6	20.5	Bug	None	20	10	230	10	230	5	505	Ordinary
6	214	Mega Heracross	Single Horn Pokemon	Bug	Fighting	Skill Link	None	None	50	50	1.5	54.0	Bug	None	80	185	115	40	105	75	600	Ordinary
2	214	Heracross	Single Horn Pokemon	Bug	Fighting	Swarm	Moxie	Guts	50	50	1.5	54.0	Bug	None	80	125	75	40	95	85	500	Ordinary
2	215	Sneasel	Sharp Claw Pokemon	Dark	Ice	Keen Eye	Pickpocket	Inner Focus	50	50	0.9	28.0	Field	None	55	95	55	35	75	115	430	Ordinary
2	216	Teddiursa	Little Bear Pokemon	Normal	None	Quick Feet	Pickup	Honey Gather	50	50	0.6	8.8	Field	None	60	80	50	50	50	40	330	Ordinary
2	217	Ursaring	Hibernator Pokemon	Normal	None	Quick Feet	Unnerve	Guts	50	50	1.8	125.8	Field	None	90	130	75	75	75	55	500	Ordinary
2	218	Slugma	Lava Pokemon	Fire	None	Magma Armor	Weak Armor	Flame Body	50	50	0.7	35.0	Amorphous	None	40	40	40	70	40	20	250	Ordinary
2	219	Magcargo	Lava Pokemon	Fire	Rock	Magma Armor	Weak Armor	Flame Body	50	50	0.8	55.0	Amorphous	None	60	50	120	90	80	30	430	Ordinary
2	220	Swinub	Pig Pokemon	Ice	Ground	Oblivious	Thick Fat	Snow Cloak	50	50	0.4	6.5	Field	None	50	50	40	30	30	50	250	Ordinary
2	221	Piloswine	Swine Pokemon	Ice	Ground	Oblivious	Thick Fat	Snow Cloak	50	50	1.1	55.8	Field	None	100	100	80	60	60	50	450	Ordinary
2	222	Corsola	Coral Pokemon	Water	Rock	Hustle	Regenerator	Natural Cure	25	75	0.6	5.0	Water 3	Water 1	65	55	95	65	95	35	410	Ordinary
2	223	Remoraid	Jet Pokemon	Water	None	Moody	Hustle	Sniper	50	50	0.6	12.0	Water 1	Water 2	35	65	35	65	35	65	300	Ordinary
2	224	Octillery	Jet Pokemon	Water	None	Moody	Suction Cups	Sniper	50	50	0.9	28.5	Water 1	Water 2	75	105	75	105	75	45	480	Ordinary
2	225	Delibird	Delivery Pokemon	Ice	Flying	Vital Spirit	Hustle	Insomnia	50	50	0.9	16.0	Field	Water 1	45	55	45	65	45	75	330	Ordinary
2	226	Mantine	Kite Pokemon	Water	Flying	Swift Swim	Water Absorb	Water Veil	50	50	2.1	220.0	Water 1	None	85	40	70	80	140	70	485	Ordinary
2	227	Skarmory	Armor Bird Pokemon	Steel	Flying	Keen Eye	Weak Armor	Sturdy	50	50	1.7	50.5	Flying	None	65	80	140	40	70	70	465	Ordinary
2	228	Houndour	Dark Pokemon	Dark	Fire	Unnerve	Flash Fire	Early Bird	50	50	0.6	10.8	Field	None	45	60	30	80	50	65	330	Ordinary
2	229	Houndoom	Dark Pokemon	Dark	Fire	Unnerve	Flash Fire	Early Bird	50	50	1.4	35.0	Field	None	75	90	50	110	80	95	500	Ordinary
6	229	Mega Houndoom	Dark Pokemon	Dark	Fire	Solar Power	None	None	50	50	1.4	35.0	Field	None	75	90	90	140	90	115	600	Ordinary
2	230	Kingdra	Dragon Pokemon	Water	Dragon	Damp	Swift Swim	Sniper	50	50	1.8	152.0	Water 1	Dragon	75	95	95	95	95	85	540	Ordinary
2	231	Phanpy	Long Nose Pokemon	Ground	None	Sand Veil	Pickup	None	50	50	0.5	33.5	Field	None	90	60	60	40	40	40	330	Ordinary
2	232	Donphan	Armor Pokemon	Ground	None	Sand Veil	Sturdy	None	50	50	1.1	120.0	Field	None	90	120	120	60	60	50	500	Ordinary
2	233	Porygon2	Virtual Pokemon	Normal	None	Trace	Analytic	Download	0	0	0.6	32.5	Mineral	None	85	80	90	105	95	60	515	Ordinary
2	234	Stantler	Big Horn Pokemon	Normal	None	Intimidate	Sap Sipper	Frisk	50	50	1.4	71.2	Field	None	73	95	62	85	65	85	465	Ordinary
2	235	Smeargle	Painter Pokemon	Normal	None	Own Tempo	Moody	Technician	50	50	1.2	58.0	Field	None	55	20	35	20	45	75	250	Ordinary
2	236	Tyrogue	Scuffle Pokemon	Fighting	None	Vital Spirit	Steadfast	Guts	100	0	0.7	21.0	Undiscovered	None	35	35	35	35	35	35	210	Ordinary
2	237	Hitmontop	Handstand Pokemon	Fighting	None	Intimidate	Technician	Steadfast	100	0	1.4	48.0	Human-Like	None	50	95	95	35	110	70	455	Ordinary
2	238	Smoochum	Kiss Pokemon	Ice	Psychic	Hydration	Oblivious	Forewarn	0	100	0.4	6.0	Undiscovered	None	45	30	15	85	65	65	305	Ordinary
2	239	Elekid	Electric Pokemon	Electric	None	Vital Spirit	Static	None	75	25	0.6	23.5	Undiscovered	None	45	63	37	65	55	95	360	Ordinary
2	240	Magby	Live Coal Pokemon	Fire	None	Vital Spirit	Flame Body	None	75	25	0.7	21.4	Undiscovered	None	45	75	37	70	55	83	365	Ordinary
2	241	Miltank	Milk Cow Pokemon	Normal	None	Scrappy	Thick Fat	Sap Sipper	0	100	1.2	75.5	Field	None	95	80	105	40	70	100	490	Ordinary
2	242	Blissey	Happiness Pokemon	Normal	None	Serene Grace	Natural Cure	Healer	0	100	1.5	46.8	Fairy	None	255	10	10	75	135	55	540	Ordinary
2	243	Raikou	Thunder Pokemon	Electric	None	Pressure	Inner Focus	None	0	0	1.9	178.0	Undiscovered	None	90	85	75	115	100	115	580	Legendary
2	244	Entei	Volcano Pokemon	Fire	None	Pressure	Inner Focus	None	0	0	2.1	198.0	Undiscovered	None	115	115	85	90	75	100	580	Legendary
2	245	Suicune	Aurora Pokemon	Water	None	Pressure	Inner Focus	None	0	0	2.0	187.0	Undiscovered	None	100	75	115	90	115	85	580	Legendary
2	246	Larvitar	Rock Skin Pokemon	Rock	Ground	Sand Veil	Guts	None	50	50	0.6	72.0	Monster	None	50	64	50	45	50	41	300	Ordinary
2	247	Pupitar	Hard Shell Pokemon	Rock	Ground	Shed Skin	None	None	50	50	1.2	152.0	Monster	None	70	84	70	65	70	51	410	Ordinary
2	248	Tyranitar	Armor Pokemon	Rock	Dark	Sand Stream	Unnerve	None	50	50	2.0	202.0	Monster	None	100	134	110	95	100	61	600	Ordinary
6	248	Mega Tyranitar	Armor Pokemon	Rock	Dark	Sand Stream	None	None	50	50	2.0	202.0	Monster	None	100	164	150	95	120	71	700	Ordinary
2	249	Lugia	Diving Pokemon	Psychic	Flying	Pressure	Multiscale	None	0	0	5.2	216.0	Undiscovered	None	106	90	130	90	154	110	680	Legendary
2	250	Ho-Oh	Rainbow Pokemon	Fire	Flying	Regenerator	Pressure	None	0	0	3.8	199.0	Undiscovered	None	106	130	90	110	154	90	680	Legendary
2	251	Celebi	Time Travel Pokemon	Psychic	Grass	Natural Cure	None	None	0	0	0.6	5.0	Undiscovered	None	100	100	100	100	100	100	600	Legendary
3	252	Treecko	Wood Gecko Pokemon	Grass	None	Unburden	Overgrow	None	87.5	12.5	0.5	5.0	Monster	Dragon	40	45	35	65	55	70	310	Ordinary
3	253	Grovyle	Wood Gecko Pokemon	Grass	None	Unburden	Overgrow	None	87.5	12.5	0.9	21.6	Monster	Dragon	50	65	45	85	65	95	405	Ordinary
3	254	Sceptile	Forest Pokemon	Grass	None	Unburden	Overgrow	None	87.5	12.5	1.7	52.2	Monster	Dragon	70	85	65	105	85	120	530	Ordinary
6	254	Mega Sceptile	Forest Pokemon	Grass	Dragon	Lightning Rod	None	None	87.5	12.5	1.7	52.2	Monster	Dragon	70	110	75	145	85	145	630	Ordinary
3	255	Torchic	Chick Pokemon	Fire	None	Speed Boost	Blaze	None	87.5	12.5	0.4	2.5	Field	None	45	60	40	70	50	45	310	Ordinary
3	256	Combusken	Young Fowl Pokemon	Fire	Fighting	Speed Boost	Blaze	None	87.5	12.5	0.9	19.5	Field	None	60	85	60	85	60	55	405	Ordinary
3	257	Blaziken	Blaze Pokemon	Fire	Fighting	Speed Boost	Blaze	None	87.5	12.5	1.9	52.0	Field	None	80	120	70	110	70	80	530	Ordinary
6	257	Mega Blaziken	Blaze Pokemon	Fire	Fighting	Speed Boost	None	None	87.5	12.5	1.9	52.0	Field	None	80	160	80	130	80	100	630	Ordinary
3	258	Mudkip	Mud Fish Pokemon	Water	None	Damp	Torrent	None	87.5	12.5	0.4	7.6	Monster	Water 1	50	70	50	50	50	40	310	Ordinary
3	259	Marshtomp	Mud Fish Pokemon	Water	Ground	Damp	Torrent	None	87.5	12.5	0.7	28.0	Monster	Water 1	70	85	70	60	70	50	405	Ordinary
6	260	Mega Swampert	Mud Fish Pokemon	Water	Ground	Swift Swim	None	None	87.5	12.5	1.5	81.9	Monster	Water 1	100	150	110	95	110	70	635	Ordinary
3	260	Swampert	Mud Fish Pokemon	Water	Ground	Damp	Torrent	None	87.5	12.5	1.5	81.9	Monster	Water 1	100	110	90	85	90	60	535	Ordinary
3	261	Poochyena	Bite Pokemon	Dark	None	Rattled	Run Away	Quick Feet	50	50	0.5	13.6	Field	None	35	55	35	30	30	35	220	Ordinary
3	262	Mightyena	Bite Pokemon	Dark	None	Intimidate	Quick Feet	Moxie	50	50	1.0	37.0	Field	None	70	90	70	60	60	70	420	Ordinary
3	263	Zigzagoon	Tiny Raccoon Pokemon	Normal	None	Quick Feet	Pickup	Gluttony	50	50	0.4	17.5	Field	None	38	30	41	30	41	60	240	Ordinary
3	264	Linoone	Rushing Pokemon	Normal	None	Quick Feet	Pickup	Gluttony	50	50	0.5	32.5	Field	None	78	70	61	50	61	100	420	Ordinary
3	265	Wurmple	Worm Pokemon	Bug	None	Run Away	Shield Dust	None	50	50	0.3	3.6	Bug	None	45	45	35	20	30	20	195	Ordinary
3	266	Silcoon	Cocoon Pokemon	Bug	None	Shed Skin	None	None	50	50	0.6	10.0	Bug	None	50	35	55	25	25	15	205	Ordinary
3	267	Beautifly	Butterfly Pokemon	Bug	Flying	Swarm	Rivalry	None	50	50	1.0	28.4	Bug	None	60	70	50	100	50	65	395	Ordinary
3	268	Cascoon	Cocoon Pokemon	Bug	None	Shed Skin	None	None	50	50	0.7	11.5	Bug	None	50	35	55	25	25	15	205	Ordinary
3	269	Dustox	Poison Moth Pokemon	Bug	Poison	Shield Dust	Compound Eyes	None	50	50	1.2	31.6	Bug	None	60	50	70	50	90	65	385	Ordinary
3	270	Lotad	Water Weed Pokemon	Water	Grass	Own Tempo	Rain Dish	Swift Swim	50	50	0.5	2.6	Grass	Water 1	40	30	30	40	50	30	220	Ordinary
3	271	Lombre	Jolly Pokemon	Water	Grass	Own Tempo	Rain Dish	Swift Swim	50	50	1.2	32.5	Grass	Water 1	60	50	50	60	70	50	340	Ordinary
3	272	Ludicolo	Carefree Pokemon	Water	Grass	Own Tempo	Rain Dish	Swift Swim	50	50	1.5	55.0	Grass	Water 1	80	70	70	90	100	70	480	Ordinary
3	273	Seedot	Acorn Pokemon	Grass	None	Chlorophyll	Pickpocket	Early Bird	50	50	0.5	4.0	Field	Grass	40	40	50	30	30	30	220	Ordinary
3	274	Nuzleaf	Wily Pokemon	Grass	Dark	Chlorophyll	Pickpocket	Early Bird	50	50	1.0	28.0	Field	Grass	70	70	40	60	40	60	340	Ordinary
3	275	Shiftry	Wicked Pokemon	Grass	Dark	Chlorophyll	Pickpocket	Early Bird	50	50	1.3	59.6	Field	Grass	90	100	60	90	60	80	480	Ordinary
3	276	Taillow	Tiny Swallow Pokemon	Normal	Flying	Scrappy	Guts	None	50	50	0.3	2.3	Flying	None	40	55	30	30	30	85	270	Ordinary
3	277	Swellow	Swallow Pokemon	Normal	Flying	Scrappy	Guts	None	50	50	0.7	19.8	Flying	None	60	85	60	75	50	125	455	Ordinary
3	278	Wingull	Seagull Pokemon	Water	Flying	Keen Eye	Rain Dish	Hydration	50	50	0.6	9.5	Flying	Water 1	40	30	30	55	30	85	270	Ordinary
3	279	Pelipper	Water Bird Pokemon	Water	Flying	Keen Eye	Rain Dish	Drizzle	50	50	1.2	28.0	Flying	Water 1	60	50	100	95	70	65	440	Ordinary
3	280	Ralts	Feeling Pokemon	Psychic	Fairy	Trace	Telepathy	Synchronize	50	50	0.4	6.6	Amorphous	None	28	25	25	45	35	40	198	Ordinary
3	281	Kirlia	Emotion Pokemon	Psychic	Fairy	Trace	Telepathy	Synchronize	50	50	0.8	20.2	Amorphous	None	38	35	35	65	55	50	278	Ordinary
3	282	Gardevoir	Embrace Pokemon	Psychic	Fairy	Trace	Telepathy	Synchronize	50	50	1.6	48.4	Amorphous	None	68	65	65	125	115	80	518	Ordinary
6	282	Mega Gardevoir	Embrace Pokemon	Psychic	Fairy	Pixilate	None	None	50	50	1.6	48.4	Amorphous	None	68	85	65	165	135	100	618	Ordinary
3	283	Surskit	Pond Skater Pokemon	Bug	Water	Rain Dish	Swift Swim	None	50	50	0.5	1.7	Bug	Water 1	40	30	32	50	52	65	269	Ordinary
3	284	Masquerain	Eyeball Pokemon	Bug	Flying	Intimidate	Unnerve	None	50	50	0.8	3.6	Bug	Water 1	70	60	62	100	82	80	454	Ordinary
