Generation	Pokedex#	Name	Category	Types	Abilities	MaleRatio	FemaleRatio	Height	Weight	EggGroups	HP	Attack	Defense	Sp.Attack	Sp.Defense	Speed	Movesets
1	125	Electabuzz	Electric Pokémon	[Electric, Unknown]	[Vital Spirit, Static]	75%	25%	1.1 m	30.0 kg	[Human-Like]	65	83	57	95	85	105	0
1	126	Magmar	Spitfire Pokémon	[Fire, Unknown]	[Vital Spirit, Flame Body]	75%	25%	1.3 m	44.5 kg	[Human-Like]	65	95	57	100	85	93	0
6	127	Mega Pinsir	Stag Beetle Pokémon	[Bug, Flying]	[Aerilate]	50%	50%	1.5 m	55.0 kg	[Bug]	65	155	120	65	90	105	0
1	127	Pinsir	Stag Beetle Pokémon	[Bug, Unknown]	[Mold Breaker, Moxie, Hyper Cutter]	50%	50%	1.5 m	55.0 kg	[Bug]	65	125	100	55	70	85	0
1	128	Tauros	Wild Bull Pokémon	[Normal, Unknown]	[Intimidate, Sheer Force, Anger Point]	100%	0%	1.4 m	88.4 kg	[Field]	75	100	95	40	70	110	0
1	129	Magikarp	Fish Pokémon	[Water, Unknown]	[Rattled, Swift Swim]	50%	50%	0.9 m	10.0 kg	[Dragon, Water 2]	20	10	55	15	20	80	0
1	130	Gyarados	Atrocious Pokémon	[Water, Flying]	[Intimidate, Moxie]	50%	50%	6.5 m	235.0 kg	[Dragon, Water 2]	95	125	79	60	100	81	0
6	130	Mega Gyarados	Atrocious Pokémon	[Water, Dark]	[Mold Breaker]	50%	50%	6.5 m	235.0 kg	[Dragon, Water 2]	95	155	109	70	130	81	0
1	131	Lapras	Transport Pokémon	[Water, Ice]	[Hydration, Water Absorb, Shell Armor]	50%	50%	2.5 m	220.0 kg	[Monster, Water 1]	130	85	80	85	95	60	0
1	132	Ditto	Transform Pokémon	[Normal, Unknown]	[Limber, Imposter]	0%	0%	0.3 m	4.0 kg	[Ditto]	48	48	48	48	48	48	0
1	133	Eevee	Evolution Pokémon	[Normal, Unknown]	[Run Away, Adaptability, Anticipation]	87.5%	12.5%	0.3 m	6.5 kg	[Field]	55	55	50	45	65	55	0
1	134	Vaporeon	Bubble Jet Pokémon	[Water, Unknown]	[Hydration, Water Absorb]	87.5%	12.5%	1.0 m	29.0 kg	[Field]	130	65	60	110	95	65	0
1	135	Jolteon	Lightning Pokémon	[Electric, Unknown]	[Quick Feet, Volt Absorb]	87.5%	12.5%	0.8 m	24.5 kg	[Field]	65	65	60	110	95	130	0
1	136	Flareon	Flame Pokémon	[Fire, Unknown]	[Flash Fire, Guts]	87.5%	12.5%	0.9 m	25.0 kg	[Field]	65	130	60	95	110	65	0
1	137	Porygon	Virtual Pokémon	[Normal, Unknown]	[Trace, Analytic, Download]	0%	0%	0.8 m	36.5 kg	[Mineral]	65	60	70	85	75	40	0
1	138	Omanyte	Spiral Pokémon	[Rock, Water]	[Weak Armor, Swift Swim, Shell Armor]	87.5%	12.5%	0.4 m	7.5 kg	[Water 3, Water 1]	35	40	100	90	55	35	0
1	139	Omastar	Spiral Pokémon	[Rock, Water]	[Weak Armor, Swift Swim, Shell Armor]	87.5%	12.5%	1.0 m	35.0 kg	[Water 3, Water 1]	70	60	125	115	70	55	0
1	140	Kabuto	Shellfish Pokémon	[Rock, Water]	[Battle Armor, Weak Armor, Swift Swim]	87.5%	12.5%	0.5 m	11.5 kg	[Water 3, Water 1]	30	80	90	55	45	55	0
1	141	Kabutops	Shellfish Pokémon	[Rock, Water]	[Battle Armor, Weak Armor, Swift Swim]	87.5%	12.5%	1.3 m	40.5 kg	[Water 3, Water 1]	60	115	105	65	70	80	0
6	142	Mega Aerodactyl	Fossil Pokémon	[Rock, Flying]	[Tough Claws]	87.5%	12.5%	1.8 m	59.0 kg	[Flying]	80	135	85	70	95	150	0
1	142	Aerodactyl	Fossil Pokémon	[Rock, Flying]	[Unnerve, Rock Head, Pressure]	87.5%	12.5%	1.8 m	59.0 kg	[Flying]	80	105	65	60	75	130	0
1	143	Snorlax	Sleeping Pokémon	[Normal, Unknown]	[Thick Fat, Immunity, Gluttony]	87.5%	12.5%	2.1 m	460.0 kg	[Monster]	160	110	65	65	110	30	0
1	144	Articuno	Freeze Pokémon	[Ice, Flying]	[Pressure, Snow Cloak]	0%	0%	1.7 m	55.4 kg	[Undiscovered]	90	85	100	95	125	85	0
1	145	Zapdos	Electric Pokémon	[Electric, Flying]	[Static, Pressure]	0%	0%	1.6 m	52.6 kg	[Undiscovered]	90	90	85	125	90	100	0
1	146	Moltres	Flame Pokémon	[Fire, Flying]	[Flame Body, Pressure]	0%	0%	2.0 m	60.0 kg	[Undiscovered]	90	100	90	125	85	90	0
1	147	Dratini	Dragon Pokémon	[Dragon, Unknown]	[Marvel Scale, Shed Skin]	50%	50%	1.8 m	3.3 kg	[Water 1, Dragon]	41	64	45	50	50	50	0
1	148	Dragonair	Dragon Pokémon	[Dragon, Unknown]	[Marvel Scale, Shed Skin]	50%	50%	4.0 m	16.5 kg	[Water 1, Dragon]	61	84	65	70	70	70	0
1	149	Dragonite	Dragon Pokémon	[Dragon, Flying]	[Inner Focus, Multiscale]	50%	50%	2.2 m	210.0 kg	[Water 1, Dragon]	91	134	95	100	100	80	0
1	150	Mewtwo	Genetic Pokémon	[Psychic, Unknown]	[Unnerve, Pressure]	0%	0%	2.0 m	122.0 kg	[Undiscovered]	106	110	90	154	90	130	0
6	150	Mega Mewtwo Y	Genetic Pokémon	[Psychic, Unknown]	[Insomnia]	0%	0%	2.0 m	122.0 kg	[Undiscovered]	106	150	70	194	120	140	0
6	150	Mega Mewtwo X	Genetic Pokémon	[Psychic, Fighting]	[Steadfast]	0%	0%	2.0 m	122.0 kg	[Undiscovered]	106	190	100	154	100	130	0
1	151	Mew	New Species Pokémon	[Psychic, Unknown]	[Synchronize]	0%	0%	0.4 m	4.0 kg	[Undiscovered]	100	100	100	100	100	100	0
2	152	Chikorita	Leaf Pokémon	[Grass, Unknown]	[Leaf Guard, Overgrow]	87.5%	12.5%	0.9 m	6.4 kg	[Monster, Grass]	45	49	65	49	65	45	0
2	153	Bayleef	Leaf Pokémon	[Grass, Unknown]	[Leaf Guard, Overgrow]	87.5%	12.5%	1.2 m	15.8 kg	[Monster, Grass]	60	62	80	63	80	60	0
6	154	Meganium	Herb Pokémon	[Grass, Unknown]	[Overgrow]	87.5%	12.5%	1.8 m	100.5 kg	[Monster, Grass]	80	82	100	83	100	80	0
2	155	Cyndaquil	Fire Mouse Pokémon	[Fire, Unknown]	[Blaze, Flash Fire]	87.5%	12.5%	0.5 m	7.9 kg	[Field]	39	52	43	60	50	65	0
2	156	Quilava	Volcano Pokémon	[Fire, Unknown]	[Blaze, Flash Fire]	87.5%	12.5%	0.9 m	19.0 kg	[Field]	58	64	58	80	65	80	0
2	157	Typhlosion	Volcano Pokémon	[Fire, Unknown]	[Blaze, Flash Fire]	87.5%	12.5%	1.7 m	79.5 kg	[Field]	78	84	78	109	85	100	0
2	158	Totodile	Big Jaw Pokémon	[Water, Unknown]	[Torrent, Sheer Force]	87.5%	12.5%	0.6 m	9.5 kg	[Monster, Water 1]	50	65	64	44	48	43	0
2	159	Croconaw	Big Jaw Pokémon	[Water, Unknown]	[Torrent, Sheer Force]	87.5%	12.5%	1.1 m	25.0 kg	[Monster, Water 1]	65	80	80	59	63	58	0
2	160	Feraligatr	Big Jaw Pokémon	[Water, Unknown]	[Torrent, Sheer Force]	87.5%	12.5%	2.3 m	88.8 kg	[Monster, Water 1]	85	105	100	79	83	78	0
2	161	Sentret	Scout Pokémon	[Normal, Unknown]	[Keen Eye, Run Away, Frisk]	50%	50%	0.8 m	6.0 kg	[Field]	35	46	34	35	45	20	0
2	162	Furret	Long Body Pokémon	[Normal, Unknown]	[Keen Eye, Run Away, Frisk]	50%	50%	1.8 m	32.5 kg	[Field]	85	76	64	45	55	90	0
2	163	Hoothoot	Owl Pokémon	[Normal, Flying]	[Keen Eye, Insomnia, Tinted Lens]	50%	50%	0.7 m	21.2 kg	[Flying]	60	30	30	36	56	50	0
2	164	Noctowl	Owl Pokémon	[Normal, Flying]	[Keen Eye, Insomnia, Tinted Lens]	50%	50%	1.6 m	40.8 kg	[Flying]	100	50	50	86	96	70	0
2	165	Ledyba	Five Star Pokémon	[Bug, Flying]	[Swarm, Rattled, Early Bird]	50%	50%	1.0 m	10.8 kg	[Bug]	40	20	30	40	80	55	0
2	166	Ledian	Five Star Pokémon	[Bug, Flying]	[Swarm, Iron Fist, Early Bird]	50%	50%	1.4 m	35.6 kg	[Bug]	55	35	50	55	110	85	0
2	167	Spinarak	String Spit Pokémon	[Bug, Poison]	[Swarm, Insomnia, Sniper]	50%	50%	0.5 m	8.5 kg	[Bug]	40	60	40	40	40	30	0
2	168	Ariados	Long Leg Pokémon	[Bug, Poison]	[Swarm, Insomnia, Sniper]	50%	50%	1.1 m	33.5 kg	[Bug]	70	90	70	60	70	40	0
2	169	Crobat	Bat Pokémon	[Poison, Flying]	[Infiltrator, Inner Focus]	50%	50%	1.8 m	75.0 kg	[Flying]	85	90	80	70	80	130	0
2	170	Chinchou	Angler Pokémon	[Water, Electric]	[Water Absorb, Volt Absorb, Illuminate]	50%	50%	0.5 m	12.0 kg	[Water 2]	75	38	38	56	56	67	0
2	171	Lanturn	Light Pokémon	[Water, Electric]	[Water Absorb, Volt Absorb, Illuminate]	50%	50%	1.2 m	22.5 kg	[Water 2]	125	58	58	76	76	67	0
2	172	Spiky-eared Pichu	Tiny Mouse Pokémon	[Electric, Unknown]	[Static, Lightning Rod]	50%	50%	0.3 m	2.0 kg	[Undiscovered]	20	40	15	35	35	60	0
2	172	Pichu	Tiny Mouse Pokémon	[Electric, Unknown]	[Static, Lightning Rod]	50%	50%	0.3 m	2.0 kg	[Undiscovered]	20	40	15	35	35	60	0
2	173	Cleffa	Star Shape Pokémon	[Fairy, Unknown]	[Cute Charm, Magic Guard, Friend Guard]	25%	75%	0.3 m	3.0 kg	[Undiscovered]	50	25	28	45	55	15	0
2	174	Igglybuff	Balloon Pokémon	[Normal, Fairy]	[Competitive, Cute Charm, Friend Guard]	25%	75%	0.3 m	1.0 kg	[Undiscovered]	90	30	15	40	20	15	0
2	175	Togepi	Spike Ball Pokémon	[Fairy, Unknown]	[Serene Grace, Hustle, Super Luck]	87.5%	12.5%	0.3 m	1.5 kg	[Undiscovered]	35	20	65	40	65	20	0
2	176	Togetic	Happiness Pokémon	[Fairy, Flying]	[Serene Grace, Hustle, Super Luck]	87.5%	12.5%	0.6 m	3.2 kg	[Flying, Fairy]	55	40	85	80	105	40	0
2	177	Natu	Tiny Bird Pokémon	[Psychic, Flying]	[Synchronize, Magic Bounce, Early Bird]	50%	50%	0.2 m	2.0 kg	[Flying]	40	50	45	70	45	70	0
2	178	Xatu	Mystic Pokémon	[Psychic, Flying]	[Synchronize, Magic Bounce, Early Bird]	50%	50%	1.5 m	15.0 kg	[Flying]	65	75	70	95	70	95	0
2	179	Mareep	Wool Pokémon	[Electric, Unknown]	[Static, Plus]	50%	50%	0.6 m	7.8 kg	[Field, Monster]	55	40	40	65	45	35	0
2	180	Flaaffy	Wool Pokémon	[Electric, Unknown]	[Static, Plus]	50%	50%	0.8 m	13.3 kg	[Field, Monster]	70	55	55	80	60	45	0
2	181	Ampharos	Light Pokémon	[Electric, Unknown]	[Static, Plus]	50%	50%	1.4 m	61.5 kg	[Field, Monster]	90	95	105	165	110	45	0
6	181	Mega Ampharos	Light Pokémon	[Electric, Dragon]	[Mold Breaker]	50%	50%	1.4 m	61.5 kg	[Field, Monster]	90	95	105	165	110	45	0
2	182	Bellossom	Flower Pokémon	[Grass, Unknown]	[Chlorophyll, Healer]	50%	50%	0.4 m	5.8 kg	[Grass]	75	80	95	90	100	50	0
2	183	Marill	Aqua Mouse Pokémon	[Water, Fairy]	[Huge Power, Thick Fat, Sap Sipper]	50%	50%	0.4 m	8.5 kg	[Fairy, Water 1]	70	20	50	20	50	40	0
2	184	Azumarill	Aqua Rabbit Pokémon	[Water, Fairy]	[Huge Power, Thick Fat, Sap Sipper]	50%	50%	0.8 m	28.5 kg	[Fairy, Water 1]	100	50	80	60	80	50	0
2	185	Sudowoodo	Imitation Pokémon	[Rock, Unknown]	[Rattled, Sturdy, Rock Head]	50%	50%	1.2 m	38.0 kg	[Mineral]	70	100	115	30	65	30	0
2	186	Politoed	Frog Pokémon	[Water, Unknown]	[Damp, Drizzle, Water Absorb]	50%	50%	1.1 m	33.9 kg	[Water 1]	90	75	75	90	100	70	0
2	187	Hoppip	Cottonweed Pokémon	[Grass, Flying]	[Chlorophyll, Infiltrator, Leaf Guard]	50%	50%	0.4 m	0.5 kg	[Grass, Fairy]	35	35	40	35	55	50	0
2	188	Skiploom	Cottonweed Pokémon	[Grass, Flying]	[Chlorophyll, Infiltrator, Leaf Guard]	50%	50%	0.6 m	1.0 kg	[Grass, Fairy]	55	45	50	45	65	80	0
2	189	Jumpluff	Cottonweed Pokémon	[Grass, Flying]	[Chlorophyll, Infiltrator, Leaf Guard]	50%	50%	0.8 m	3.0 kg	[Grass, Fairy]	75	55	70	55	95	110	0
2	190	Aipom	Long Tail Pokémon	[Normal, Unknown]	[Skill Link, Run Away, Pickup]	50%	50%	0.8 m	11.5 kg	[Field]	55	70	55	40	55	85	0
2	191	Sunkern	Seed Pokémon	[Grass, Unknown]	[Chlorophyll, Early Bird, Solar Power]	50%	50%	0.3 m	1.8 kg	[Grass]	30	30	30	30	30	30	0
2	192	Sunflora	Sun Pokémon	[Grass, Unknown]	[Chlorophyll, Early Bird, Solar Power]	50%	50%	0.8 m	8.5 kg	[Grass]	75	75	55	105	85	30	0
2	193	Yanma	Clear Wing Pokémon	[Bug, Flying]	[Speed Boost, Compound Eyes, Frisk]	50%	50%	1.2 m	38.0 kg	[Bug]	65	65	45	75	45	95	0
2	194	Wooper	Water Fish Pokémon	[Water, Ground]	[Damp, Unaware, Water Absorb]	50%	50%	0.4 m	8.5 kg	[Field, Water 1]	55	45	45	25	25	15	0
2	195	Quagsire	Water Fish Pokémon	[Water, Ground]	[Damp, Unaware, Water Absorb]	50%	50%	1.4 m	75.0 kg	[Field, Water 1]	95	85	85	65	65	35	0
2	196	Espeon	Sun Pokémon	[Psychic, Unknown]	[Synchronize, Magic Bounce]	87.5%	12.5%	0.9 m	26.5 kg	[Field]	65	65	60	130	95	110	0
2	197	Umbreon	Moonlight Pokémon	[Dark, Unknown]	[Synchronize, Inner Focus]	87.5%	12.5%	1.0 m	27.0 kg	[Field]	95	65	110	60	130	65	0
2	198	Murkrow	Darkness Pokémon	[Dark, Flying]	[Insomnia, Super Luck, Prankster]	50%	50%	0.5 m	2.1 kg	[Flying]	60	85	42	85	42	91	0
2	199	Slowking	Royal Pokémon	[Water, Psychic]	[Own Tempo, Oblivious, Regenerator]	50%	50%	2.0 m	79.5 kg	[Monster, Water 1]	95	75	80	100	110	30	0
2	200	Misdreavus	Screech Pokémon	[Ghost, Unknown]	[Levitate]	50%	50%	0.7 m	1.0 kg	[Amorphous]	60	60	60	85	85	85	0
2	201	Unown	Symbol Pokémon	[Psychic, Unknown]	[Levitate]	0%	0%	0.5 m	5.0 kg	[Undiscovered]	48	72	48	72	48	48	0
2	202	Wobbuffet	Patient Pokémon	[Psychic, Unknown]	[Telepathy, Shadow Tag]	50%	50%	1.3 m	28.5 kg	[Amorphous]	190	33	58	33	58	33	0
2	203	Girafarig	Long Neck Pokémon	[Normal, Psychic]	[Sap Sipper, Early Bird, Inner Focus]	50%	50%	1.5 m	41.5 kg	[Field]	70	80	65	90	65	85	0
2	204	Pineco	Bagworm Pokémon	[Bug, Unknown]	[Sturdy, Overcoat]	50%	50%	0.6 m	7.2 kg	[Bug]	50	65	90	35	35	15	0
2	205	Forretress	Bagworm Pokémon	[Bug, Steel]	[Sturdy, Overcoat]	50%	50%	1.2 m	125.8 kg	[Bug]	75	90	140	60	60	40	0
2	206	Dunsparce	Land Snake Pokémon	[Normal, Unknown]	[Serene Grace, Rattled, Run Away]	50%	50%	1.5 m	14.0 kg	[Field]	100	70	70	65	65	45	0
2	207	Gligar	Fly Scorpion Pokémon	[Ground, Flying]	[Sand Veil, Hyper Cutter, Immunity]	50%	50%	1.1 m	64.8 kg	[Bug]	65	75	105	35	65	85	0
6	208	Mega Steelix	Iron Snake Pokémon	[Steel, Ground]	[Sand Force]	50%	50%	9.2 m	400.0 kg	[Mineral]	75	125	230	55	95	30	0
2	208	Steelix	Iron Snake Pokémon	[Steel, Ground]	[Sturdy, Rock Head, Sheer Force]	50%	50%	9.2 m	400.0 kg	[Mineral]	75	85	200	55	65	30	0
2	209	Snubbull	Fairy Pokémon	[Fairy, Unknown]	[Intimidate, Rattled, Run Away]	25%	75%	0.6 m	7.8 kg	[Field, Fairy]	60	80	50	40	40	30	0
2	210	Granbull	Fairy Pokémon	[Fairy, Unknown]	[Intimidate, Rattled, Quick Feet]	25%	75%	1.4 m	48.7 kg	[Field, Fairy]	90	120	75	60	60	45	0
2	211	Qwilfish	Balloon Pokémon	[Water, Poison]	[Intimidate, Swift Swim, Poison Point]	50%	50%	0.5 m	3.9 kg	[Water 2]	65	95	85	55	55	85	0
2	212	Scizor	Pincer Pokémon	[Bug, Steel]	[Swarm, Technician, Light Metal]	50%	50%	1.8 m	118.0 kg	[Bug]	70	130	100	55	80	65	0
6	212	Mega Scizor	Pincer Pokémon	[Bug, Steel]	[Technician]	50%	50%	1.8 m	118.0 kg	[Bug]	70	150	140	65	100	75	0
2	213	Shuckle	Mold Pokémon	[Bug, Rock]	[Contrary, Sturdy, Gluttony]	50%	50%	0.6 m	20.5 kg	[Bug]	20	10	230	10	230	5	0
6	214	Mega Heracross	Single Horn Pokémon	[Bug, Fighting]	[Skill Link]	50%	50%	1.5 m	54.0 kg	[Bug]	80	185	115	40	105	75	0
2	214	Heracross	Single Horn Pokémon	[Bug, Fighting]	[Swarm, Moxie, Guts]	50%	50%	1.5 m	54.0 kg	[Bug]	80	125	75	40	95	85	0
2	215	Sneasel	Sharp Claw Pokémon	[Dark, Ice]	[Keen Eye, Pickpocket, Inner Focus]	50%	50%	0.9 m	28.0 kg	[Field]	55	95	55	35	75	115	0
2	216	Teddiursa	Little Bear Pokémon	[Normal, Unknown]	[Quick Feet, Pickup, Honey Gather]	50%	50%	0.6 m	8.8 kg	[Field]	60	80	50	50	50	40	0
2	217	Ursaring	Hibernator Pokémon	[Normal, Unknown]	[Quick Feet, Unnerve, Guts]	50%	50%	1.8 m	125.8 kg	[Field]	90	130	75	75	75	55	0
2	218	Slugma	Lava Pokémon	[Fire, Unknown]	[Magma Armor, Weak Armor, Flame Body]	50%	50%	0.7 m	35.0 kg	[Amorphous]	40	40	40	70	40	20	0
2	219	Magcargo	Lava Pokémon	[Fire, Rock]	[Magma Armor, Weak Armor, Flame Body]	50%	50%	0.8 m	55.0 kg	[Amorphous]	60	50	120	90	80	30	0
2	220	Swinub	Pig Pokémon	[Ice, Ground]	[Oblivious, Thick Fat, Snow Cloak]	50%	50%	0.4 m	6.5 kg	[Field]	50	50	40	30	30	50	0
2	221	Piloswine	Swine Pokémon	[Ice, Ground]	[Oblivious, Thick Fat, Snow Cloak]	50%	50%	1.1 m	55.8 kg	[Field]	100	100	80	60	60	50	0
2	222	Corsola	Coral Pokémon	[Water, Rock]	[Hustle, Regenerator, Natural Cure]	25%	75%	0.6 m	5.0 kg	[Water 3, Water 1]	65	55	95	65	95	35	0
2	223	Remoraid	Jet Pokémon	[Water, Unknown]	[Moody, Hustle, Sniper]	50%	50%	0.6 m	12.0 kg	[Water 1, Water 2]	35	65	35	65	35	65	0
2	224	Octillery	Jet Pokémon	[Water, Unknown]	[Moody, Suction Cups, Sniper]	50%	50%	0.9 m	28.5 kg	[Water 1, Water 2]	75	105	75	105	75	45	0
2	225	Delibird	Delivery Pokémon	[Ice, Flying]	[Vital Spirit, Hustle, Insomnia]	50%	50%	0.9 m	16.0 kg	[Field, Water 1]	45	55	45	65	45	75	0
2	226	Mantine	Kite Pokémon	[Water, Flying]	[Swift Swim, Water Absorb, Water Veil]	50%	50%	2.1 m	220.0 kg	[Water 1]	85	40	70	80	140	70	0
2	227	Skarmory	Armor Bird Pokémon	[Steel, Flying]	[Keen Eye, Weak Armor, Sturdy]	50%	50%	1.7 m	50.5 kg	[Flying]	65	80	140	40	70	70	0
2	228	Houndour	Dark Pokémon	[Dark, Fire]	[Unnerve, Flash Fire, Early Bird]	50%	50%	0.6 m	10.8 kg	[Field]	45	60	30	80	50	65	0
2	229	Houndoom	Dark Pokémon	[Dark, Fire]	[Unnerve, Flash Fire, Early Bird]	50%	50%	1.4 m	35.0 kg	[Field]	75	90	50	110	80	95	0
6	229	Mega Houndoom	Dark Pokémon	[Dark, Fire]	[Solar Power]	50%	50%	1.4 m	35.0 kg	[Field]	75	90	90	140	90	115	0
2	230	Kingdra	Dragon Pokémon	[Water, Dragon]	[Damp, Swift Swim, Sniper]	50%	50%	1.8 m	152.0 kg	[Water 1, Dragon]	75	95	95	95	95	85	0
2	231	Phanpy	Long Nose Pokémon	[Ground, Unknown]	[Sand Veil, Pickup]	50%	50%	0.5 m	33.5 kg	[Field]	90	60	60	40	40	40	0
2	232	Donphan	Armor Pokémon	[Ground, Unknown]	[Sand Veil, Sturdy]	50%	50%	1.1 m	120.0 kg	[Field]	90	120	120	60	60	50	0
2	233	Porygon2	Virtual Pokémon	[Normal, Unknown]	[Trace, Analytic, Download]	0%	0%	0.6 m	32.5 kg	[Mineral]	85	80	90	105	95	60	0
2	234	Stantler	Big Horn Pokémon	[Normal, Unknown]	[Intimidate, Sap Sipper, Frisk]	50%	50%	1.4 m	71.2 kg	[Field]	73	95	62	85	65	85	0
2	235	Smeargle	Painter Pokémon	[Normal, Unknown]	[Own Tempo, Moody, Technician]	50%	50%	1.2 m	58.0 kg	[Field]	55	20	35	20	45	75	0
2	236	Tyrogue	Scuffle Pokémon	[Fighting, Unknown]	[Vital Spirit, Steadfast, Guts]	100%	0%	0.7 m	21.0 kg	[Undiscovered]	35	35	35	35	35	35	0
2	237	Hitmontop	Handstand Pokémon	[Fighting, Unknown]	[Intimidate, Technician, Steadfast]	100%	0%	1.4 m	48.0 kg	[Human-Like]	50	95	95	35	110	70	0
2	238	Smoochum	Kiss Pokémon	[Ice, Psychic]	[Hydration, Oblivious, Forewarn]	0%	100%	0.4 m	6.0 kg	[Undiscovered]	45	30	15	85	65	65	0
2	239	Elekid	Electric Pokémon	[Electric, Unknown]	[Vital Spirit, Static]	75%	25%	0.6 m	23.5 kg	[Undiscovered]	45	63	37	65	55	95	0
2	240	Magby	Live Coal Pokémon	[Fire, Unknown]	[Vital Spirit, Flame Body]	75%	25%	0.7 m	21.4 kg	[Undiscovered]	45	75	37	70	55	83	0
2	241	Miltank	Milk Cow Pokémon	[Normal, Unknown]	[Scrappy, Thick Fat, Sap Sipper]	0%	100%	1.2 m	75.5 kg	[Field]	95	80	105	40	70	100	0
2	242	Blissey	Happiness Pokémon	[Normal, Unknown]	[Serene Grace, Natural Cure, Healer]	0%	100%	1.5 m	46.8 kg	[Fairy]	255	10	10	75	135	55	0
2	243	Raikou	Thunder Pokémon	[Electric, Unknown]	[Pressure, Inner Focus]	0%	0%	1.9 m	178.0 kg	[Undiscovered]	90	85	75	115	100	115	0
2	244	Entei	Volcano Pokémon	[Fire, Unknown]	[Pressure, Inner Focus]	0%	0%	2.1 m	198.0 kg	[Undiscovered]	115	115	85	90	75	100	0
2	245	Suicune	Aurora Pokémon	[Water, Unknown]	[Pressure, Inner Focus]	0%	0%	2.0 m	187.0 kg	[Undiscovered]	100	75	115	90	115	85	0
2	246	Larvitar	Rock Skin Pokémon	[Rock, Ground]	[Sand Veil, Guts]	50%	50%	0.6 m	72.0 kg	[Monster]	50	64	50	45	50	41	0
2	247	Pupitar	Hard Shell Pokémon	[Rock, Ground]	[Shed Skin]	50%	50%	1.2 m	152.0 kg	[Monster]	70	84	70	65	70	51	0
2	248	Tyranitar	Armor Pokémon	[Rock, Dark]	[Sand Stream, Unnerve]	50%	50%	2.0 m	202.0 kg	[Monster]	100	134	110	95	100	61	0
6	248	Mega Tyranitar	Armor Pokémon	[Rock, Dark]	[Sand Stream]	50%	50%	2.0 m	202.0 kg	[Monster]	100	164	150	95	120	71	0
2	249	Lugia	Diving Pokémon	[Psychic, Flying]	[Pressure, Multiscale]	0%	0%	5.2 m	216.0 kg	[Undiscovered]	106	90	130	90	154	110	0
2	250	Ho-Oh	Rainbow Pokémon	[Fire, Flying]	[Regenerator, Pressure]	0%	0%	3.8 m	199.0 kg	[Undiscovered]	106	130	90	110	154	90	0
2	251	Celebi	Time Travel Pokémon	[Psychic, Grass]	[Natural Cure]	0%	0%	0.6 m	5.0 kg	[Undiscovered]	100	100	100	100	100	100	0
3	252	Treecko	Wood Gecko Pokémon	[Grass, Unknown]	[Unburden, Overgrow]	87.5%	12.5%	0.5 m	5.0 kg	[Monster, Dragon]	40	45	35	65	55	70	0
3	253	Grovyle	Wood Gecko Pokémon	[Grass, Unknown]	[Unburden, Overgrow]	87.5%	12.5%	0.9 m	21.6 kg	[Monster, Dragon]	50	65	45	85	65	95	0
3	254	Sceptile	Forest Pokémon	[Grass, Unknown]	[Unburden, Overgrow]	87.5%	12.5%	1.7 m	52.2 kg	[Monster, Dragon]	70	85	65	105	85	120	0
6	254	Mega Sceptile	Forest Pokémon	[Grass, Dragon]	[Lightning Rod]	87.5%	12.5%	1.7 m	52.2 kg	[Monster, Dragon]	70	110	75	145	85	145	0
3	255	Torchic	Chick Pokémon	[Fire, Unknown]	[Speed Boost, Blaze]	87.5%	12.5%	0.4 m	2.5 kg	[Field]	45	60	40	70	50	45	0
3	256	Combusken	Young Fowl Pokémon	[Fire, Fighting]	[Speed Boost, Blaze]	87.5%	12.5%	0.9 m	19.5 kg	[Field]	60	85	60	85	60	55	0
3	257	Blaziken	Blaze Pokémon	[Fire, Fighting]	[Speed Boost, Blaze]	87.5%	12.5%	1.9 m	52.0 kg	[Field]	80	120	70	110	70	80	0
6	257	Mega Blaziken	Blaze Pokémon	[Fire, Fighting]	[Speed Boost]	87.5%	12.5%	1.9 m	52.0 kg	[Field]	80	160	80	130	80	100	0
3	258	Mudkip	Mud Fish Pokémon	[Water, Unknown]	[Damp, Torrent]	87.5%	12.5%	0.4 m	7.6 kg	[Monster, Water 1]	50	70	50	50	50	40	0
3	259	Marshtomp	Mud Fish Pokémon	[Water, Ground]	[Damp, Torrent]	87.5%	12.5%	0.7 m	28.0 kg	[Monster, Water 1]	70	85	70	60	70	50	0
6	260	Mega Swampert	Mud Fish Pokémon	[Water, Ground]	[Swift Swim]	87.5%	12.5%	1.5 m	81.9 kg	[Monster, Water 1]	100	150	110	95	110	70	0
3	260	Swampert	Mud Fish Pokémon	[Water, Ground]	[Damp, Torrent]	87.5%	12.5%	1.5 m	81.9 kg	[Monster, Water 1]	100	110	90	85	90	60	0
3	261	Poochyena	Bite Pokémon	[Dark, Unknown]	[Rattled, Run Away, Quick Feet]	50%	50%	0.5 m	13.6 kg	[Field]	35	55	35	30	30	35	0
3	262	Mightyena	Bite Pokémon	[Dark, Unknown]	[Intimidate, Quick Feet, Moxie]	50%	50%	1.0 m	37.0 kg	[Field]	70	90	70	60	60	70	0
3	263	Zigzagoon	Tiny Raccoon Pokémon	[Normal, Unknown]	[Quick Feet, Pickup, Gluttony]	50%	50%	0.4 m	17.5 kg	[Field]	38	30	41	30	41	60	0
3	264	Linoone	Rushing Pokémon	[Normal, Unknown]	[Quick Feet, Pickup, Gluttony]	50%	50%	0.5 m	32.5 kg	[Field]	78	70	61	50	61	100	0
